Rank,Network,Address,Prizes,Balance,Winrate
72,0xc699cfad26aeb158931fb6698311e3b518e98898,polygon,103,302,51.63%
73,0xcbaffd3c17c98cb6448bf92151a0318e595f3768,polygon,103,200,51.50%
74,0x2e69476d174e9cac1c9c1529c67c5ae66fe933ff,polygon,192,515,51.45%
75,0xa801fada732b176c2e990df197bffa757f296e26,polygon,51,151,50.98%
76,0x20d725e2f72884a60df9b4a55ab0125b4231286b,polygon,51,101,50.95%
77,0x687774deaee7ddbe1910c1e1751f8686931f6586,polygon,100,200,50.00%
78,0x727df4ab614e0025637c4d23b48171054e0f6dde,polygon,50,100,50.00%
79,0xc554b7f10c4a60233fb0556cb972cec937371cfc,polygon,5,15,50.00%
80,0x431166a06007435516d8e1e1ce11504ff626ee2c,polygon,5,10,50.00%
81,0x751e7c8d4878f74817dfefb381c2fea0a913a543,polygon,10,30,49.97%
82,0xb35e71b6a5aebb07dfc3aa705968411ebdbc003f,polygon,50,150,49.78%
83,0x24f3751d932f030b7096369b8ff00670de26c2ee,polygon,200,605,49.38%
84,0xe493a6ff589c4e63c73546d9eabb06e2695e782f,polygon,3159,7213,48.16%
85,0x99fa48ccea8a38cde6b437450ff9bbddafaa4fc8,polygon,100,311,47.43%
86,0x4971c2d9bfce50de9485bdc1c56f7dd4c458dee1,polygon,205,639,47.26%
87,0xd50b0485e1ba29fb1e9e4418ebd47194c4bdde9a,ethereum,51,110,46.44%
88,0x81a0cf53e9d0d0b50f4befde5abb6c20453751a0,polygon,5,11,45.45%
89,0xcbda66a945936a7ae3329e052ad55916839190f7,polygon,5,16,45.45%
90,0xec8b9d178c1d0c169115e746c9e8c12221d3ad5a,polygon,226,718,45.03%
91,0xd6f42acd3109bc3d6827cfafb16cbc996bf67171,polygon,5,11,44.71%
92,0x0092f2ed23041e6c1355d94a9f4338cf779d03d4,polygon,2950,9589,44.44%
93,0xd1dc4240b07f8b68b0585a3b02403e31f783bf57,polygon,222,722,44.40%
94,0xa0e7549de2e5217f89d306cbcb514047630d6649,polygon,10,33,43.48%
95,0xd1dac732fe775cb4c86e6473bd89accd00928b4e,avalanche,10,33,42.81%
96,0xad4810cf053d329793fc1ad96eced83bfbb435b3,polygon,60,204,41.69%
97,0x663de07a0875072a3c2793fd1d66fa7e27c37b58,polygon,2,5,41.01%
98,0x87ff07c063c58a7f6eb9cba9c044191d112f57b2,polygon,204,500,40.80%
99,0xa6faa95b692962d1faaa6b43a6f20545e0d40861,polygon,3955,13594,40.70%
100,0x042d60e7dc84756d93faa21a30aa8deff13fbae9,polygon,10,35,40.00%
101,0xcac27fd0e00d3e59f01aaf54205d432ff4dc750a,polygon,10,25,40.00%
102,0x8a1ec127978bcc7499b2a188df2bd1810f522ac7,polygon,20,70,39.86%
103,0x42a49ff24567797e9be3340decbe62559dfa84b2,polygon,205,527,39.27%
104,0x7df2d36aaad457d520b4035889924691a2499f66,polygon,5,13,38.46%
105,0x61d0d9e39fdcd7043843bb75d0d1b520a7bbeb2a,polygon,215,560,38.39%
106,0x0b27e0972063fe78bbbe9cc193afad9cf2402d88,polygon,889,3210,38.29%
107,0x6bfc2cc988c513a481607777990f7799e84b1442,polygon,118,428,37.94%
108,0xd81f29339146c36b1a662456151b3017ea1bd15e,polygon,112,412,37.33%
109,0x0a3ab61d912048814fea1b4f5cc6985623540111,ethereum,51,137,37.23%
110,0x232cd5ed6c69bfdc4ed9b4c3d8923961ea4b439c,polygon,41,141,37.22%
111,0xb341f93b91f3052478bb46872b3cb6c99741a0d2,polygon,110,406,37.20%
112,0xba8b871fed50bf9e764a4b350c01ec3ca5d03f28,polygon,20,74,37.04%
113,0xe68e7f19f72499dc02388caca54a1df55c2111b7,polygon,2730,10069,36.84%
